[0] 				[0]
[4, 5, 3, 1] 		[0, 78, 106, 7]
[4, 5, 3, 3] 		[0, 78, 106, 7]
[4, 5, 3, 4] 		[0, 78, 106, 7]
[4, 5, 3, 6] 		[0, 78, 106, 7]
[4, 5, 4, 7] 		[0, 78, 106, 108]
[4, 5, 4, 5] 		[0, 78, 106, 108]
[4, 5, 4, 6] 		[0, 78, 106, 108]
[4, 5, 4, 4] 		[0, 78, 106, 108]
[4, 5, 4, 3] 		[0, 78, 106, 108]
[4, 5, 4, 1] 		[0, 78, 106, 108]
[4, 5, 5, 1] 		[0, 78, 106, 41]
[4, 5, 5, 3] 		[0, 78, 106, 41]
[4, 5, 5, 4] 		[0, 78, 106, 41]
[4, 5, 5, 5] 		[0, 78, 106, 41]
[4, 5, 5, 6] 		[0, 78, 106, 41]
[4, 5, 6, 3] 		[0, 78, 106, 1]
[4, 5, 6, 5] 		[0, 78, 106, 1]
[4, 5, 7] 			[0, 78, 106]
[4, 5, 8] 			[0, 78, 106]
[4, 6, 2] 			[0, 78, 1]
[4, 6, 5] 			[0, 78, 1]
[4, 6, 7] 			[0, 78, 1]
[4, 7] 				[0, 78]
[4, 8] 				[0, 78]
[5, 0] 				[0, 192]
[5, 1] 				[0, 192]
[5, 2, 2] 			[0, 192, 111]
[5, 2, 3] 			[0, 192, 111]
[5, 2, 4] 			[0, 192, 111]
[5, 2, 5] 			[0, 192, 111]
[5, 2, 6] 			[0, 192, 111]
[5, 2, 7] 			[0, 192, 111]
[5, 3, 1] 			[0, 192, 114]
[5, 3, 3, 1] 		[0, 192, 114, 16]
[5, 3, 3, 4] 		[0, 192, 114, 16]
[5, 3, 3, 5] 		[0, 192, 114, 16]
[5, 3, 3, 6] 		[0, 192, 114, 16]
[5, 3, 3, 7] 		[0, 192, 114, 16]
[5, 3, 4] 			[0, 192, 114]
[5, 3, 5] 			[0, 192, 114]
[5, 3, 6] 			[0, 192, 114]
[5, 3, 7] 			[0, 192, 114]
[5, 3, 8] 			[0, 192, 114]
[5, 4, 0] 			[0, 192, 120]
[5, 4, 1] 			[0, 192, 120]
[5, 4, 2] 			[0, 192, 120]
[5, 4, 3] 			[0, 192, 120]
[5, 4, 4, 2] 		[0, 192, 120, 3]
[5, 4, 4, 4] 		[0, 192, 120, 3]
[5, 4, 4, 5] 		[0, 192, 120, 3]
[5, 4, 5, 2] 		[0, 192, 120, 3]
[5, 4, 5, 4] 		[0, 192, 120, 3]
[5, 4, 5, 5] 		[0, 192, 120, 3]
[5, 4, 5, 6] 		[0, 192, 120, 3]
[5, 4, 8] 			[0, 192, 120]
[5, 5, 0] 			[0, 192, 31]
[5, 5, 1, 3] 		[0, 192, 31, 1]
[5, 5, 1, 5] 		[0, 192, 31, 1]
[5, 5, 2, 1] 		[0, 192, 31, 15]
[5, 5, 2, 2] 		[0, 192, 31, 15]
[5, 5, 2, 4] 		[0, 192, 31, 15]
[5, 5, 2, 5] 		[0, 192, 31, 15]
[5, 5, 2, 6] 		[0, 192, 31, 15]
[5, 5, 3] 			[0, 192, 31]
[5, 5, 4, 2] 		[0, 192, 31, 1]
[5, 5, 4, 3] 		[0, 192, 31, 1]
[5, 5, 4, 4] 		[0, 192, 31, 1]
[5, 5, 4, 6] 		[0, 192, 31, 1]
[5, 5, 5] 			[0, 192, 31]
[5, 5, 6] 			[0, 192, 31]
[5, 5, 7] 			[0, 192, 31]
[5, 6, 1] 			[0, 192, 37]
[5, 6, 2] 			[0, 192, 37]
[5, 6, 3, 3] 		[0, 192, 37, 1]
[5, 6, 3, 5] 		[0, 192, 37, 1]
[5, 6, 4] 			[0, 192, 37]
[5, 6, 5] 			[0, 192, 37]
[5, 6, 6] 			[0, 192, 37]
[5, 7] 				[0, 192]
[5, 8] 				[0, 192]
[6, 0] 				[0, 65]
[6, 1] 				[0, 65]
[6, 2, 2] 			[0, 65, 3]
[6, 2, 3] 			[0, 65, 3]
[6, 2, 5] 			[0, 65, 3]
[6, 3, 1] 			[0, 65, 188]
[6, 3, 2] 			[0, 65, 188]
[6, 3, 3] 			[0, 65, 188]
[6, 3, 4] 			[0, 65, 188]
[6, 3, 5, 3] 		[0, 65, 188, 1]
[6, 3, 5, 4] 		[0, 65, 188, 1]
[6, 3, 5, 6] 		[0, 65, 188, 1]
[6, 3, 6, 3] 		[0, 65, 188, 1]
[6, 3, 6, 4] 		[0, 65, 188, 1]
[6, 3, 6, 5] 		[0, 65, 188, 1]
[6, 3, 7] 			[0, 65, 188]
[6, 4, 2] 			[0, 65, 2]
[6, 4, 3] 			[0, 65, 2]
[6, 4, 4] 			[0, 65, 2]
[6, 4, 5] 			[0, 65, 2]
[6, 5, 4] 			[0, 65, 1]
[6, 5, 5] 			[0, 65, 1]
[6, 6, 0] 			[0, 65, 7]
[6, 6, 3] 			[0, 65, 7]
[6, 6, 4] 			[0, 65, 7]
[6, 6, 6] 			[0, 65, 7]
[6, 7] 				[0, 65]
[6, 8] 				[0, 65]
[7, 1] 				[0, 28]
[7, 3] 				[0, 28]
[7, 4, 3] 			[0, 28, 2]
[7, 4, 5] 			[0, 28, 2]
[7, 4, 7] 			[0, 28, 2]
[7, 5] 				[0, 28]
[7, 6] 				[0, 28]
[7, 8] 				[0, 28]
[8] 				[0]
